Source,Season,Production
Wind,Spring,7756
Solar,Summer,5069
Solar,Winter,1114
Wind,Summer,1136
Wind,Fall,6686
Solar,Summer,4861
Solar,Summer,6546
Solar,Summer,7174
Wind,Summer,2116
Solar,Winter,3571
Wind,Spring,7880
Wind,Summer,5129
Wind,Spring,12710
Wind,Summer,2891
Wind,Winter,10321
Wind,Fall,1605
Wind,Summer,5719
Solar,Spring,2867
Wind,Winter,2891
Wind,Summer,7180
Wind,Spring,1954
Wind,Summer,2357
Wind,Spring,6406
Wind,Spring,7949
Wind,Fall,9763
Wind,Spring,8135
Wind,Summer,2753
Wind,Fall,2858
Wind,Spring,8978
Wind,Winter,1986
Wind,Summer,4501
Solar,Spring,8128
Wind,Summer,8795
Wind,Winter,2238
Wind,Summer,4852
Wind,Summer,4798
Wind,Spring,13652
Solar,Summer,6657
Wind,Winter,7835
Wind,Winter,1699
Solar,Spring,6711
Solar,Summer,4357
Wind,Spring,2688
Wind,Summer,868
Wind,Fall,313
Wind,Spring,3361
Solar,Fall,4933
Wind,Spring,7031
Wind,Fall,12769
Wind,Spring,6724
Wind,Fall,15126
Wind,Summer,2691
Wind,Winter,7222
Wind,Summer,3841
Wind,Winter,14856
Wind,Fall,2918
Wind,Summer,1492
Wind,Spring,2577
Solar,Spring,3383
Wind,Fall,3686
Wind,Fall,8882
Wind,Winter,2329
Solar,Spring,9731
Wind,Fall,8112
Wind,Summer,3676
Solar,Spring,6177
Wind,Fall,3875
Wind,Summer,4432
Wind,Spring,9742
Wind,Spring,4315
Wind,Fall,1746
Wind,Winter,8533
Wind,Fall,10025
Wind,Summer,2194
Wind,Winter,10609
Wind,Spring,3876
Wind,Spring,15134
Wind,Winter,5336
Wind,Spring,1683
Wind,Fall,5526
Wind,Winter,4300
Wind,Summer,3976
Wind,Winter,12351
Wind,Fall,6622
Wind,Fall,1142
Wind,Spring,6164
Solar,Fall,6121
Wind,Summer,1848
Wind,Fall,811
Wind,Spring,9974
Wind,Winter,20266
Wind,Winter,11863
Wind,Summer,1314
Wind,Fall,4569
Wind,Winter,3941
Wind,Fall,8304
Wind,Spring,12488
Wind,Fall,8614
Wind,Summer,9214
Wind,Fall,13981
Wind,Fall,9488
Solar,Fall,10562
Solar,Fall,4322
Wind,Fall,8099
Wind,Spring,4140
Wind,Winter,6179
Wind,Summer,1018
Solar,Spring,9414
Wind,Spring,10025
Wind,Fall,1907
Wind,Winter,8716
Wind,Spring,3971
Wind,Fall,2505
Wind,Fall,6061
Solar,Summer,9521
Wind,Fall,9046
Wind,Winter,2115
Wind,Spring,7215
Wind,Winter,7054
Solar,Fall,4331
Wind,Fall,622
Wind,Winter,14424
Wind,Summer,9841
Wind,Winter,7016
Wind,Summer,12675
Wind,Winter,13984
Wind,Spring,2636
Wind,Fall,8937
Wind,Winter,1946
Wind,Winter,6656
Wind,Fall,2406
Wind,Summer,7727
Wind,Winter,5302
Solar,Fall,4607
Wind,Spring,14615
Wind,Winter,11043
Wind,Spring,8468
Wind,Spring,9254
Wind,Spring,6183
Solar,Summer,6448
Wind,Summer,4944
Wind,Winter,15725
Wind,Summer,1917
Wind,Fall,7671
Wind,Spring,3939
Wind,Winter,5685
Wind,Summer,2368
Solar,Winter,2622
Wind,Fall,11135
Wind,Summer,2050
Wind,Winter,3531
Solar,Summer,4862
Wind,Winter,4169
Wind,Fall,2215
Wind,Summer,1150
Solar,Summer,6538
Wind,Fall,2700
Wind,Fall,800
Wind,Spring,6087
Wind,Spring,7693
Wind,Winter,13622
Wind,Spring,3522
Wind,Spring,3321
Wind,Spring,9623
Wind,Spring,12042
Wind,Fall,1153
Wind,Fall,584
Wind,Summer,5792
Wind,Fall,3432
Wind,Spring,10430
Solar,Fall,3781
Wind,Winter,15275
Wind,Winter,7462
Wind,Summer,6505
Wind,Summer,2086
Wind,Spring,3469
Wind,Fall,3597
Wind,Spring,3158
Wind,Spring,4444
Wind,Fall,3238
Wind,Spring,2865
Wind,Spring,1690
Solar,Summer,8737
Wind,Summer,2172
Wind,Summer,2957
Wind,Winter,10560
Wind,Winter,11260
Wind,Summer,4398
Wind,Summer,7253
Wind,Spring,11249
Wind,Fall,687
Wind,Fall,8058
Solar,Summer,6244
Wind,Spring,996
Wind,Spring,10457
Wind,Summer,957
Wind,Summer,4506
Wind,Summer,14771
Solar,Summer,9607
Wind,Winter,8371
Wind,Spring,5803
Wind,Spring,5905
Wind,Spring,3524
Wind,Winter,5125
Wind,Summer,731
Solar,Summer,4652
Wind,Summer,931
Wind,Spring,6946
Wind,Summer,1820
Wind,Summer,11480
Wind,Fall,663
Wind,Winter,1571
Solar,Winter,3281
Solar,Spring,3016
Wind,Summer,11586
Wind,Spring,2572
Solar,Spring,7699
Wind,Winter,1931
Wind,Fall,3916
Wind,Summer,9065
Wind,Fall,4683
Wind,Spring,5907
Wind,Winter,2643
Wind,Spring,7850
Wind,Spring,5296
Wind,Spring,723
Solar,Spring,5971
Wind,Summer,1452
Wind,Spring,3067
Wind,Winter,14492
Wind,Spring,7658
Solar,Spring,9558
Wind,Spring,2303
Wind,Summer,862
Wind,Winter,19004
Wind,Fall,11103
Wind,Summer,4876
Wind,Fall,1416
Solar,Summer,6580
Wind,Winter,6857
Wind,Summer,2043
Wind,Winter,9716
Wind,Fall,1111
Wind,Summer,8306
Wind,Spring,8495
Wind,Spring,2181
Wind,Summer,4332
Wind,Fall,1768
Wind,Summer,5404
Wind,Spring,2979
Wind,Spring,5054
Wind,Summer,7339
Wind,Winter,2193
Solar,Winter,3018
Wind,Spring,8152
Wind,Fall,1961
Wind,Winter,12264
Solar,Summer,6067
Solar,Fall,10058
Solar,Spring,4810
Wind,Spring,703
Solar,Winter,7999
Wind,Fall,8643
Wind,Summer,1578
Wind,Winter,4218
Wind,Winter,15968
Wind,Spring,11075
Wind,Spring,3806
Wind,Summer,12018
Solar,Spring,4911
Solar,Winter,3145
Wind,Fall,4372
Wind,Fall,3514
Wind,Winter,7645
Wind,Summer,4111
Solar,Fall,5298
Wind,Fall,13899
Solar,Summer,7806
Wind,Winter,14976
Wind,Fall,5188
Wind,Summer,11855
Wind,Spring,11938
Wind,Fall,3222
Wind,Summer,2733
Wind,Fall,1704
Wind,Fall,1114
Wind,Summer,1373
Wind,Winter,8949
Wind,Summer,1723
Wind,Summer,6431
Solar,Spring,4662
Wind,Spring,12710
Solar,Spring,3757
Solar,Summer,11291
Wind,Fall,8069
Wind,Fall,9441
Wind,Summer,6801
Wind,Summer,7247
Solar,Summer,4302
Wind,Summer,1791
Wind,Fall,7242
Wind,Summer,8474
Wind,Fall,11622
Solar,Spring,5360
Wind,Fall,6705
Wind,Summer,1436
Wind,Spring,703
Wind,Summer,1268
Wind,Summer,3830
Wind,Summer,670
Wind,Spring,8343
Wind,Winter,5199
Wind,Spring,9278
Wind,Spring,8931
Wind,Winter,12428
Wind,Winter,7810
Wind,Spring,7089
Wind,Fall,5141
Wind,Spring,4906
Wind,Spring,9137
Wind,Winter,8535
Wind,Summer,1047
Wind,Spring,5598
Solar,Fall,3974
Wind,Spring,9201
Wind,Winter,8999
Wind,Fall,3828
Wind,Summer,1099
Wind,Summer,2095
Wind,Spring,748
Wind,Winter,1281
Wind,Spring,7218
Wind,Winter,8152
Wind,Fall,14843
Wind,Fall,5286
Wind,Fall,6481
Wind,Winter,10235
Wind,Summer,5773
Solar,Summer,5357
Wind,Winter,19987
Solar,Winter,6363
Wind,Winter,8829
Wind,Summer,5728
Wind,Fall,3854
Wind,Fall,12666
Wind,Winter,5569
Solar,Spring,3967
Wind,Fall,8530
Solar,Spring,8311
Wind,Winter,12013
Wind,Fall,6221
Wind,Winter,5385
Wind,Spring,4245
Wind,Spring,5750
Wind,Winter,19398
Wind,Winter,3021
Solar,Summer,6997
Wind,Summer,2022
Wind,Fall,8658
Wind,Winter,6057
Solar,Summer,5654
Wind,Fall,12421
Solar,Winter,6270
Solar,Fall,3326
Wind,Summer,3348
Wind,Winter,6624
Wind,Summer,1461
Wind,Summer,1906
Solar,Fall,4987
Solar,Summer,8282
Wind,Winter,17690
Wind,Winter,10776
Wind,Winter,5618
Wind,Summer,1887
Wind,Fall,12258
Solar,Spring,6175
Wind,Winter,17302
Wind,Summer,7604
Wind,Spring,4610
Wind,Spring,9646
Wind,Winter,12295
Wind,Winter,9320
Wind,Summer,2130
Wind,Winter,11737
Solar,Summer,6084
Wind,Spring,5157
Wind,Fall,2683
Wind,Summer,8525
Wind,Fall,7414
Solar,Fall,4418
Wind,Fall,5596
Wind,Winter,13913
Wind,Spring,4642
Wind,Winter,10820
Wind,Winter,1187
Wind,Summer,6737
Solar,Summer,4570
Wind,Winter,3005
Wind,Spring,13908
Wind,Winter,11122
Wind,Summer,7195
Wind,Winter,5894
Wind,Spring,4469
Wind,Summer,3632
Wind,Spring,8565
Wind,Summer,6804
Wind,Spring,1032
Wind,Winter,1053
Wind,Winter,4478
Solar,Winter,2676
Wind,Winter,5048
Wind,Winter,1507
Wind,Summer,13262
Wind,Fall,13923
Wind,Spring,4856
Wind,Summer,3097
Wind,Fall,4843
Wind,Spring,12402
Solar,Summer,8283
Wind,Summer,2488
Wind,Summer,748
Wind,Spring,3329
Wind,Spring,4906
Wind,Spring,9607
Wind,Summer,4242
Solar,Fall,5525
Solar,Fall,3848
Wind,Winter,1679
Wind,Spring,12628
Solar,Fall,4522
Wind,Fall,6769
Solar,Spring,8049
Wind,Spring,6278
Wind,Spring,10352
Wind,Fall,12061
Wind,Spring,2538
Wind,Summer,7756
Wind,Spring,8619
Solar,Fall,9343
Solar,Summer,4377
Wind,Fall,15308
Solar,Spring,2989
Wind,Summer,3204
Wind,Summer,3073
Wind,Spring,13826
Solar,Spring,3558
Solar,Fall,5714
Wind,Spring,9414
Wind,Summer,456
Wind,Summer,6769
Wind,Fall,6134
Wind,Spring,3293
Wind,Summer,2988
Wind,Fall,15812
Wind,Fall,1932
Wind,Spring,1278
Solar,Spring,5469
Wind,Spring,9635
Wind,Summer,12317
Wind,Fall,4625
Wind,Fall,9132
Wind,Summer,590
Wind,Fall,7118
Wind,Spring,5487
Wind,Summer,1451
Solar,Spring,6179
Wind,Spring,5144
Wind,Winter,2507
Wind,Summer,3684
Wind,Spring,6133
Wind,Fall,5244
Wind,Summer,11156
Solar,Summer,8159
Solar,Summer,8810
Wind,Spring,4949
Wind,Winter,1253
Wind,Winter,4927
Wind,Fall,1575
Wind,Fall,20597
Wind,Summer,1750
Wind,Summer,4575
Wind,Summer,7365
Wind,Summer,2542
Wind,Fall,1247
Wind,Summer,5065
Wind,Spring,7386
Wind,Summer,3366
Wind,Fall,14535
Wind,Summer,9129
Wind,Summer,1153
Wind,Summer,12004
Solar,Summer,1628
Solar,Summer,5923
Wind,Winter,8370
Solar,Fall,6407
Solar,Fall,3648
Wind,Summer,3517
Wind,Fall,3815
Solar,Spring,2530
Wind,Winter,7990
Wind,Spring,3169
Wind,Fall,3184
Solar,Summer,1101
Wind,Fall,2421
Wind,Summer,863
Wind,Summer,1054
Wind,Fall,12891
Wind,Winter,3478
Wind,Spring,2748
Wind,Winter,4665
Wind,Spring,5119
Wind,Fall,672
Wind,Fall,4388
Wind,Fall,13386
Wind,Spring,9672
Wind,Winter,17332
Solar,Summer,6675
Wind,Winter,495
Wind,Winter,8261
Wind,Fall,6086
Wind,Fall,6004
Wind,Winter,10703
Wind,Spring,4256
Wind,Winter,2611
Wind,Spring,9361
Solar,Spring,4778
Solar,Summer,2085
Wind,Winter,11230
Solar,Summer,5603
Wind,Fall,6529
Wind,Winter,3223
Solar,Fall,2249
Wind,Winter,6469
Wind,Fall,2430
Wind,Spring,3904
Wind,Spring,1359
Wind,Summer,2263
Solar,Summer,3124
Solar,Fall,5213
Wind,Spring,9699
Wind,Spring,5747
Wind,Fall,7311
Solar,Summer,4931
Wind,Fall,3245
Solar,Summer,4012
Wind,Spring,3814
Wind,Winter,6304
Wind,Winter,6285
Wind,Spring,2699
Wind,Fall,2959
Solar,Summer,3372
Wind,Summer,4171
Wind,Winter,7229
Wind,Spring,10556
Wind,Fall,6790
Wind,Fall,3351
Wind,Winter,17545
Wind,Fall,11901
Wind,Summer,2703
Wind,Spring,9888
Wind,Winter,4619
Wind,Spring,2661
Wind,Spring,8108
Wind,Winter,6714
Wind,Winter,4609
Wind,Fall,5080
Solar,Summer,3604
Wind,Spring,5428
Wind,Fall,10168
Wind,Fall,9771
Wind,Summer,2631
Wind,Spring,2543
Wind,Winter,14145
Solar,Summer,5653
Wind,Spring,7848
Wind,Winter,9936
Solar,Fall,9204
Wind,Spring,2275
Wind,Winter,5165
Solar,Fall,3666
Solar,Spring,6436
Solar,Spring,4067
Solar,Fall,5438
Wind,Winter,13040
Wind,Spring,1502
Solar,Spring,5337
Solar,Summer,4098
Wind,Spring,15839
Wind,Spring,3360
Wind,Fall,1232
Wind,Fall,8717
Wind,Winter,3249
Solar,Summer,6716
Wind,Summer,3345
Wind,Winter,9868
Wind,Winter,16745
Wind,Winter,6803
Solar,Spring,5202
Wind,Winter,19348
Wind,Fall,10350
Wind,Winter,4558
Wind,Summer,4486
Wind,Summer,2101
Wind,Winter,2064
Wind,Summer,3667
Wind,Fall,210
Wind,Winter,1322
Wind,Spring,10187
Wind,Summer,7186
Solar,Winter,2874
Wind,Spring,5427
Wind,Fall,8606
Wind,Spring,3786
Wind,Fall,15504
Wind,Spring,5875
Wind,Winter,2136
Solar,Summer,5355
Solar,Summer,4159
Wind,Winter,11283
Wind,Winter,4846
Wind,Fall,1887
Wind,Fall,2642
Wind,Summer,2390
Wind,Winter,4246
Wind,Fall,4798
Wind,Summer,1584
Wind,Winter,3812
Wind,Summer,9893
Wind,Winter,6952
Wind,Winter,328
Wind,Fall,15890
Wind,Winter,2347
Wind,Winter,4193
Wind,Fall,1554
Solar,Summer,5689
Wind,Spring,9264
Wind,Summer,2456
Wind,Summer,10176
Wind,Spring,4271
Wind,Spring,6405
Wind,Winter,10749
Wind,Winter,7802
Wind,Summer,2045
Solar,Winter,7077
Wind,Summer,12740
Wind,Summer,2445
Wind,Winter,2391
Wind,Fall,1953
Wind,Fall,6119
Wind,Summer,5539
Wind,Winter,1410
Wind,Winter,4487
Wind,Summer,1208
Wind,Winter,4574
Wind,Fall,21544
Wind,Winter,5916
Wind,Spring,5566
Wind,Winter,5002
Wind,Winter,5813
Wind,Winter,12983
Wind,Spring,9003
Wind,Winter,8412
Wind,Winter,4002
Wind,Fall,6474
Wind,Spring,5489
Wind,Summer,7412
Wind,Summer,1451
Wind,Fall,8245
Solar,Spring,3050
Solar,Winter,5754
Wind,Summer,15356
Wind,Fall,2272
Solar,Spring,7952
Wind,Spring,6551
Wind,Fall,13306
Wind,Fall,7887
Solar,Spring,6137
Wind,Spring,3759
Wind,Spring,4032
Wind,Winter,13392
Wind,Winter,1794
Wind,Winter,3434
Wind,Spring,11510
Solar,Spring,3352
Wind,Fall,1545
Wind,Spring,6232
Wind,Fall,10920
Wind,Winter,1467
Solar,Summer,4734
Wind,Spring,10320
Wind,Winter,5433
Wind,Winter,9207
Wind,Winter,4137
Solar,Summer,5199
Solar,Fall,5084
Solar,Winter,3903
Wind,Summer,3233
Wind,Winter,3255
Solar,Spring,4800
Wind,Spring,4492
Solar,Spring,5849
Wind,Winter,6303
Wind,Summer,3439
Wind,Fall,3662
Wind,Winter,3163
Wind,Winter,5961
Wind,Spring,6888
Wind,Summer,10230
Wind,Fall,20785
Wind,Summer,3158
Wind,Fall,2741
Wind,Spring,1788
Wind,Winter,10639
Solar,Fall,4649
Wind,Winter,3948
Wind,Spring,5441
Wind,Fall,3618
Wind,Summer,1737
Wind,Winter,2799
Wind,Winter,19928
Wind,Spring,4768
Wind,Fall,2888
Wind,Fall,3242
Wind,Summer,839
Solar,Fall,2374
Wind,Summer,6052
Wind,Summer,1802
Wind,Summer,10632
Solar,Spring,8746
Wind,Spring,1068
Wind,Fall,3333
Wind,Summer,1421
Wind,Fall,9339
Solar,Fall,3552
Wind,Winter,2645
Wind,Summer,1307
Wind,Summer,1781
Wind,Winter,3287
Solar,Summer,5124
Wind,Fall,10615
Wind,Summer,748
Wind,Summer,2429
Wind,Winter,4988
Wind,Fall,1194
Wind,Fall,5812
Wind,Summer,13809
Wind,Winter,15375
Wind,Summer,9544
Wind,Fall,9941
Wind,Summer,1771
Wind,Winter,2043
Wind,Spring,1622
Solar,Spring,7807
Wind,Winter,13233
Wind,Fall,3948
Wind,Winter,2101
Solar,Summer,4181
Solar,Summer,9540
Solar,Summer,8820
Wind,Spring,10894
Wind,Fall,13513
Wind,Winter,9448
Solar,Fall,4368
Wind,Fall,10661
Wind,Fall,6441
Wind,Winter,6918
Wind,Spring,1643
Wind,Fall,1448
Solar,Fall,10145
Wind,Fall,10759
Wind,Fall,3453
Wind,Fall,13589
Wind,Summer,1434
Solar,Summer,2968
Wind,Fall,1861
Wind,Spring,3833
Wind,Winter,12667
Wind,Summer,4264
Wind,Spring,4139
Wind,Spring,9022
Wind,Fall,4322
Wind,Fall,1809
Wind,Winter,13600
Wind,Fall,1780
Wind,Spring,6777
Solar,Spring,2186
Wind,Summer,6466
Wind,Spring,9901
Wind,Winter,6869
Solar,Fall,4400
Solar,Summer,10829
Wind,Fall,10111
Wind,Winter,5665
Wind,Fall,6353
Wind,Fall,7894
Wind,Spring,4996
Wind,Summer,1831
Wind,Summer,3952
Wind,Summer,4387
Solar,Fall,4482
Solar,Summer,7469
Wind,Winter,1005
Wind,Spring,7350
Solar,Winter,6445
Wind,Spring,2336
Wind,Winter,7209
Wind,Fall,4748
Wind,Summer,2097
Wind,Summer,2316
Wind,Spring,5000
Wind,Fall,1171
Wind,Winter,5262
Wind,Spring,8311
Wind,Winter,3845
Wind,Fall,8892
Wind,Winter,14537
Wind,Summer,7743
Wind,Summer,7459
Wind,Fall,4458
Solar,Fall,4853
Wind,Winter,12191
Wind,Fall,7605
Solar,Summer,2665
Wind,Summer,5201
Wind,Summer,3421
Wind,Spring,5525
Wind,Fall,4365
Wind,Winter,6272
Solar,Spring,4484
Wind,Spring,5301
Wind,Summer,5340
Wind,Summer,1412
Wind,Summer,508
Wind,Fall,8438
Solar,Summer,5524
Solar,Summer,8686
Wind,Fall,5617
Solar,Spring,11508
Solar,Spring,3152
Solar,Spring,5712
Solar,Fall,5575
Wind,Winter,10605
Wind,Spring,5623
Wind,Spring,4110
Wind,Winter,5748
Wind,Summer,4284
Solar,Summer,3099
Wind,Summer,6102
Wind,Fall,1704
Wind,Summer,6827
Wind,Summer,3890
Solar,Fall,4786
Wind,Spring,645
Wind,Summer,1464
Wind,Summer,5130
Wind,Winter,7402
Solar,Summer,4046
Wind,Winter,6552
Wind,Winter,7245
Wind,Summer,2295
Wind,Fall,2714
Wind,Summer,1771
Wind,Fall,8223
Wind,Fall,13595
Wind,Spring,3091
Wind,Winter,9752
Wind,Spring,7001
Wind,Spring,10105
Wind,Spring,6515
Wind,Spring,8448
Wind,Winter,3308
Wind,Winter,3020
Wind,Fall,3330
Wind,Winter,2197
Solar,Fall,2293
Wind,Summer,3906
Wind,Spring,6764
Wind,Summer,1085
Wind,Summer,6467
Solar,Spring,3596
Wind,Winter,10596
Wind,Fall,292
Wind,Fall,15122
Wind,Fall,11992
Wind,Spring,5335
Wind,Fall,4389
Wind,Spring,3548
Solar,Spring,5874
Solar,Fall,2723
Wind,Winter,7220
Solar,Summer,4809
Wind,Spring,9923
Wind,Winter,3288
Wind,Spring,4524
Wind,Spring,1408
Wind,Summer,5577
Wind,Fall,1829
Wind,Winter,7108
Wind,Winter,7471
Wind,Spring,6415
Wind,Fall,1142
Solar,Summer,8506
Solar,Summer,9654
Wind,Fall,5039
Wind,Spring,4453
Wind,Spring,11176
Wind,Fall,14758
Wind,Spring,7175
Wind,Summer,2631
Solar,Spring,2972
Wind,Summer,1509
Wind,Fall,3878
Wind,Fall,3712
Wind,Summer,7270
Wind,Summer,2716
Solar,Spring,11915
Wind,Fall,1886
Wind,Winter,2320
Wind,Winter,6408
Wind,Summer,7653
Solar,Summer,4606
Wind,Summer,1871
Wind,Spring,1781
Wind,Spring,5813
Solar,Spring,1431
Wind,Winter,8683
Solar,Fall,3028
Wind,Summer,3822
Solar,Summer,7369
Wind,Fall,13482
Wind,Spring,5384
Solar,Fall,4430
Wind,Spring,1145
Wind,Fall,9401
Wind,Fall,4472
Wind,Summer,4858
Wind,Summer,3790
Wind,Fall,3321
Wind,Winter,3202
Wind,Fall,9159
Wind,Fall,18407
Wind,Summer,4740
Wind,Fall,10679
Wind,Summer,6810
Wind,Fall,3050
Wind,Fall,9347
Wind,Spring,5821
Wind,Winter,8994
Wind,Summer,1763
Wind,Summer,3011
Solar,Spring,9667
Wind,Fall,6069
Wind,Winter,1037
Wind,Winter,2961
Wind,Winter,5209
Wind,Winter,13295
Wind,Fall,14313
Wind,Spring,11125
Solar,Summer,7585
Solar,Spring,6733
Wind,Winter,9159
Wind,Winter,4247
Wind,Summer,5282
Wind,Spring,6446
Solar,Fall,12989
Wind,Summer,5923
Solar,Summer,6385
Wind,Summer,2213
Wind,Summer,3173
Wind,Summer,4306
Wind,Winter,3671
Wind,Summer,8918
Wind,Summer,10900
Wind,Spring,11303
Wind,Fall,2084
Solar,Winter,6900
Wind,Spring,1719
Wind,Fall,8784
Solar,Summer,9602
Solar,Fall,6634
Wind,Summer,3141
Wind,Winter,12173
Wind,Winter,5097
Wind,Spring,8403
Solar,Spring,7151
Wind,Fall,4414
Wind,Fall,1277
Wind,Winter,11486
Wind,Winter,11990
Wind,Fall,6210
Wind,Spring,16408
Wind,Fall,18721
Wind,Fall,1300
Wind,Winter,9881
Wind,Summer,4530
Wind,Fall,3960
Solar,Winter,3935
Wind,Fall,15569
Wind,Summer,2040
Wind,Winter,6815
Wind,Winter,20885
Wind,Summer,8904
Wind,Summer,2584
Wind,Summer,965
Solar,Fall,2452
Wind,Fall,6863
Wind,Spring,7494
Wind,Fall,1525
Wind,Spring,14005
Wind,Winter,7242
Wind,Spring,3052
Solar,Spring,11558
Wind,Winter,6470
Wind,Summer,5291
Wind,Fall,6790
Wind,Summer,11708
Wind,Winter,7870
Wind,Spring,18316
Wind,Spring,3193
Wind,Fall,9033
Wind,Fall,2773
Wind,Summer,384
Wind,Summer,2878
Wind,Winter,5934
Wind,Winter,9422
Wind,Spring,5393
Wind,Winter,9466
Wind,Summer,2823
Wind,Spring,6999
Wind,Spring,7862
Wind,Fall,5964
Wind,Winter,8687
Wind,Fall,1124
Wind,Summer,1829
Wind,Fall,894
Wind,Fall,8475
Wind,Fall,8246
Wind,Summer,2603
Wind,Spring,6694
Solar,Fall,2552
Wind,Summer,5384
Wind,Fall,11643
Wind,Fall,1253
Wind,Spring,2663
Wind,Winter,3980
Wind,Spring,11361
Wind,Winter,9035
Solar,Fall,4028
Wind,Fall,1908
Wind,Spring,10317
Wind,Spring,3070
Wind,Fall,17992
Wind,Summer,3212
Solar,Summer,9444
Wind,Winter,6918
Wind,Winter,5845
Wind,Spring,7440
Wind,Spring,1663
Wind,Summer,11387
Wind,Fall,9661
Solar,Summer,4430
Wind,Spring,1684
Wind,Fall,5195
Wind,Spring,5079
Wind,Summer,3344
Wind,Spring,3260
Wind,Fall,7173
Wind,Spring,10637
Wind,Fall,4027
Wind,Summer,2162
Wind,Spring,10947
Wind,Fall,9995
Wind,Winter,16410
Wind,Winter,9828
Wind,Spring,2869
Solar,Spring,8550
Wind,Fall,3647
Solar,Summer,6029
Wind,Winter,15371
Wind,Fall,3223
Wind,Summer,2569
Wind,Spring,2721
Wind,Spring,14891
Wind,Winter,6349
Wind,Winter,9160
Wind,Spring,9151
Wind,Summer,5101
Solar,Winter,6285
Wind,Summer,7767
Wind,Fall,2957
Wind,Summer,5751
Wind,Fall,459
Wind,Winter,12566
Wind,Spring,4002
Wind,Spring,8084
Wind,Fall,5142
Wind,Spring,9702
Wind,Spring,9049
Wind,Fall,8193
Solar,Winter,4385
Wind,Winter,4875
Solar,Fall,7336
Wind,Fall,12407
Solar,Summer,9585
Wind,Spring,7707
Wind,Spring,8663
Wind,Winter,6813
Wind,Summer,12672
Wind,Summer,4249
Wind,Fall,3365
Wind,Winter,15206
Wind,Summer,1289
Wind,Spring,8185
Solar,Spring,4141
Wind,Fall,4252
Wind,Winter,15714
Wind,Spring,11934
Wind,Spring,10787
Wind,Spring,12637
Wind,Winter,3573
Solar,Summer,6303
Wind,Winter,1715
Wind,Spring,8478
Wind,Winter,12752
Wind,Fall,1028
Solar,Spring,2738
Wind,Spring,8034
Wind,Winter,3165
Wind,Winter,2613
Wind,Winter,1779
Wind,Winter,11211
Solar,Spring,5257
Wind,Winter,4215
Wind,Spring,3308
Wind,Summer,2007
Wind,Winter,6846
Solar,Summer,6031
Solar,Fall,2823
Wind,Summer,4846
Wind,Winter,13530
Wind,Fall,10616
Wind,Spring,5188
Wind,Summer,2704
Wind,Winter,7486
Wind,Summer,1779
Wind,Winter,19266
Wind,Fall,9919
Wind,Winter,2846
Solar,Winter,5413
Wind,Fall,895
Wind,Spring,3967
Wind,Summer,1566
Wind,Winter,7100
Wind,Spring,4433
Solar,Spring,5604
Wind,Fall,7230
Wind,Spring,6760
Wind,Spring,2424
Wind,Winter,4941
Wind,Spring,746
Wind,Summer,3575
Wind,Spring,2057
Wind,Winter,7478
Wind,Spring,1448
Wind,Summer,1826
Solar,Winter,6088
Wind,Winter,13036
Wind,Winter,12066
Wind,Winter,15656
Solar,Summer,2361
Wind,Summer,4074
Wind,Winter,4111
Wind,Fall,8741
Wind,Winter,2853
Wind,Summer,2267
Wind,Spring,6766
Wind,Spring,6416
Wind,Summer,5261
Solar,Fall,2271
Wind,Fall,6810
Solar,Summer,8860
Wind,Fall,631
Wind,Spring,5138
Wind,Winter,6365
Wind,Spring,3587
Wind,Spring,13710
Solar,Spring,5550
Solar,Summer,13010
Wind,Winter,3791
Wind,Winter,4345
Wind,Summer,3178
Wind,Winter,5858
Wind,Summer,4218
Wind,Spring,380
Wind,Spring,3318
Wind,Fall,1568
Wind,Winter,7848
Wind,Spring,691
Wind,Spring,1412
Solar,Winter,3450
Wind,Fall,1595
Wind,Summer,1094
Wind,Summer,11238
Wind,Fall,1057
Wind,Spring,5445
Wind,Winter,1529
Wind,Fall,9734
Wind,Fall,15398
Wind,Spring,2243
Solar,Spring,5540
Wind,Winter,8733
Wind,Fall,1731
Wind,Fall,8240
Wind,Winter,1503
Wind,Summer,3990
Wind,Winter,9227
Wind,Spring,14741
Wind,Fall,14688
Wind,Fall,18598
Wind,Spring,2849
Wind,Spring,3686
Wind,Summer,9162
Wind,Fall,1780
Wind,Fall,148
Solar,Fall,5627
Wind,Winter,9141
Wind,Fall,9218
Wind,Summer,5896
Wind,Fall,11856
Solar,Fall,2770
Solar,Summer,2939
Wind,Spring,4461
Solar,Fall,4242
Wind,Fall,8604
Wind,Fall,8188
Wind,Spring,6463
Wind,Spring,7396
Wind,Winter,8199
Wind,Winter,5824
Wind,Summer,7621
Wind,Spring,4158
Wind,Winter,10568
Solar,Summer,9183
Wind,Spring,8029
Wind,Winter,5637
Wind,Winter,1234
Wind,Spring,2805
Wind,Winter,3042
Wind,Summer,3412
Solar,Summer,6094
Wind,Fall,4481
Wind,Winter,11356
Wind,Fall,1743
Wind,Fall,10359
Wind,Winter,2807
Wind,Spring,3751
Solar,Spring,4489
Wind,Summer,2905
Wind,Winter,9829
Wind,Winter,17655
Wind,Winter,7382
Wind,Winter,12392
Wind,Summer,930
Wind,Fall,4692
Wind,Fall,5751
Wind,Spring,7203
Wind,Spring,4546
Solar,Summer,9154
Wind,Summer,4471
Solar,Summer,7538
Wind,Summer,3664
Wind,Fall,1842
Wind,Fall,11977
Solar,Summer,7736
Wind,Fall,4986
